id,permission_level
1,low
2,medium
3,medium
4,high
5,low
6,low
7,high
8,medium
9,low
10,medium
11,medium
12,low
13,low
14,medium
15,high
16,low
17,medium
18,medium
19,low
20,low
21,low
22,low
23,medium
24,medium
25,low
26,high
27,high
28,low
29,low
30,low
31,low
32,low
33,medium
34,low
35,low
36,medium
37,medium
38,high
39,high
40,low
41,medium
42,medium
43,high
44,high
45,medium
46,medium
47,medium
48,low
49,low
50,low
51,high
52,low
53,low
54,high
55,low
56,low
57,low
58,low
59,high
60,high
61,medium
62,high
63,medium
64,high
65,low
66,low
67,low
68,medium
69,high
70,low
71,low
72,low
73,medium
74,high
75,medium
76,high
77,medium
78,medium
79,medium
80,high
81,high
82,medium
83,low
84,medium
85,high
86,medium
87,medium
88,medium
89,high
90,low
91,low
92,high
93,high
94,low
95,high
96,high
97,medium
98,high
99,high
100,low
